id,start,end
1000472,2016-04-20 10:00:00,2020-12-31 10:00:00
1000473,2016-03-16 10:00:00,2020-12-31 10:00:00
1000474,2016-04-29 10:00:00,2020-12-31 10:00:00
1000475,2016-01-04 10:00:00,2020-12-31 10:00:00
1000476,2016-01-04 10:00:00,2020-12-31 10:00:00
1000477,2016-01-04 10:00:00,2020-12-31 10:00:00
1000478,2016-01-04 10:00:00,2020-12-31 10:00:00
1000479,2016-01-04 10:00:00,2020-12-31 10:00:00
1000480,2016-01-04 10:00:00,2020-12-31 10:00:00
1000481,2016-01-04 10:00:00,2020-12-31 10:00:00
1000482,2016-01-04 10:00:00,2020-12-31 10:00:00
1000483,2016-01-04 10:00:00,2020-12-31 10:00:00
1000484,2016-01-04 10:00:00,2020-12-31 10:00:00
1000485,2016-01-04 10:00:00,2020-12-31 10:00:00
1000486,2016-01-04 10:00:00,2020-12-31 10:00:00
1000487,2016-01-04 10:00:00,2020-12-31 10:00:00
1000488,2016-01-04 10:00:00,2020-12-31 10:00:00
1000489,2016-01-04 10:00:00,2020-12-31 10:00:00
1000490,2016-01-04 10:00:00,2020-12-31 10:00:00
